P;N;M;K;seed;beta0;beta1;anneal;mcmc;logspace
1.0;200;650;3;42;0.1;10;100;1000;F
1.0;200;700;3;42;0.1;10;100;1000;F
0.77;200;750;3;42;0.1;10;100;1000;F
0.47;200;800;3;42;0.1;10;100;1000;F
0.13;200;850;3;42;0.1;10;100;1000;F
0.0;200;900;3;42;0.1;10;100;1000;F
0.0;200;950;3;42;0.1;10;100;1000;F
1.0;200;650;3;42;0.1;10;200;2000;F
1.0;200;700;3;42;0.1;10;200;2000;F
0.8;200;750;3;42;0.1;10;200;2000;F
0.67;200;800;3;42;0.1;10;200;2000;F
0.1;200;850;3;42;0.1;10;200;2000;F
0.0;200;900;3;42;0.1;10;200;2000;F
0.0;200;950;3;42;0.1;10;200;2000;F
1.0;200;650;3;42;0.1;10;300;3000;F
1.0;200;700;3;42;0.1;10;300;3000;F
0.93;200;750;3;42;0.1;10;300;3000;F
0.73;200;800;3;42;0.1;10;300;3000;F
0.3;200;850;3;42;0.1;10;300;3000;F
0.0;200;900;3;42;0.1;10;300;3000;F
0.0;200;950;3;42;0.1;10;300;3000;F
1.0;200;650;3;42;0.1;10;400;4000;F
1.0;200;700;3;42;0.1;10;400;4000;F
1.0;200;750;3;42;0.1;10;400;4000;F
0.9;200;800;3;42;0.1;10;400;4000;F
0.23;200;850;3;42;0.1;10;400;4000;F
0.03;200;900;3;42;0.1;10;400;4000;F
0.0;200;950;3;42;0.1;10;400;4000;F
1.0;200;650;3;42;0.1;10;100;5000;F
1.0;200;700;3;42;0.1;10;100;5000;F
0.97;200;750;3;42;0.1;10;100;5000;F
0.8;200;800;3;42;0.1;10;100;5000;F
0.33;200;850;3;42;0.1;10;100;5000;F
0.03;200;900;3;42;0.1;10;100;5000;F
0.0;200;950;3;42;0.1;10;100;5000;F